# arXiv:1906.06233 Fig. 9b EPOS-LHC neutrino range
# All-flavor neutrino flux
# lg(E/eV)  E^2*phi_min [GeV/cm2/s/sr]     E^2*phi_max [GeV/cm2/s/sr]
1.205000000000000071e+01 6.057928395560037938e-14 8.968601232624917235e-14
1.215000000000000036e+01 9.170201738597939168e-14 1.261242314377561310e-13
1.225000000000000000e+01 1.296653467081569855e-13 1.727973698536854743e-13
1.234999999999999964e+01 1.942688563665175177e-13 2.486469786592723712e-13
1.244999999999999929e+01 2.835831230789157151e-13 3.483383494301085701e-13
1.255000000000000071e+01 4.162184630567068286e-13 4.949856394684360089e-13
1.265000000000000036e+01 6.040087783408131279e-13 7.098029729390359491e-13
1.275000000000000000e+01 8.834200895309568439e-13 1.062803234778741308e-12
1.284999999999999964e+01 1.287637841617449138e-12 1.632002961217467170e-12
1.294999999999999929e+01 1.898722495873185868e-12 2.497074068526292989e-12
1.305000000000000071e+01 2.742378513973845437e-12 3.882064778591550415e-12
1.315000000000000036e+01 3.847392351145835354e-12 5.934958441542372577e-12
1.325000000000000000e+01 5.350594989102760357e-12 8.991080721667614559e-12
1.334999999999999964e+01 7.582077469066642450e-12 1.382806307419765390e-11
1.344999999999999929e+01 1.053739949620537319e-11 2.065841213176827918e-11
1.355000000000000071e+01 1.428400748092939259e-11 3.025770998276427378e-11
1.365000000000000036e+01 1.939741605914347849e-11 4.434917229959650172e-11
1.375000000000000000e+01 2.574957951941008503e-11 6.503506818828623602e-11
1.384999999999999964e+01 3.319195848183577312e-11 9.711536430562538307e-11
1.394999999999999929e+01 4.120283816185361682e-11 1.500358942876611839e-10
1.405000000000000071e+01 5.032283835601698844e-11 2.435434197511688754e-10
1.415000000000000036e+01 5.929572896110940683e-11 4.036593393374811514e-10
1.425000000000000000e+01 6.936733438047246410e-11 6.694225027985924334e-10
1.434999999999999964e+01 7.857121563622271440e-11 1.052262499103949999e-09
1.444999999999999929e+01 8.887818051153456909e-11 1.562014700455910433e-09
1.455000000000000071e+01 9.917664607473487937e-11 2.166951254174881709e-09
1.465000000000000036e+01 1.108103774005067074e-10 2.778877896359426311e-09
1.475000000000000000e+01 1.273784757203857881e-10 3.286318602548338997e-09
1.484999999999999964e+01 1.483463581324026272e-10 3.594573560597790673e-09
1.494999999999999929e+01 1.725701919785543209e-10 3.606885648236017078e-09
1.505000000000000071e+01 2.016608749188616979e-10 3.351207276042965162e-09
1.515000000000000036e+01 2.318890358912942238e-10 2.873450615985699218e-09
1.525000000000000000e+01 2.599486807829294275e-10 2.330439891445833330e-09
1.534999999999999964e+01 2.955401459962203160e-10 1.815548386415206708e-09
1.544999999999999929e+01 3.365449581291572098e-10 1.447091291456001631e-09
1.555000000000000071e+01 3.823864348833301563e-10 1.305494340334051002e-09
1.565000000000000036e+01 4.456983668320289991e-10 1.574827214882013161e-09
1.575000000000000000e+01 5.214637768447352304e-10 2.262739296000282474e-09
1.584999999999999964e+01 5.828518458089318266e-10 3.383250477031742550e-09
1.594999999999999929e+01 6.585632415016767198e-10 4.970961695880983509e-09
1.605000000000000071e+01 7.122582415125687127e-10 6.944454308488766571e-09
1.614999999999999858e+01 7.809660451597496729e-10 9.024919104466868384e-09
1.625000000000000000e+01 8.427584271954207956e-10 1.099207297776155218e-08
1.635000000000000142e+01 9.098235600531919578e-10 1.236697571924581083e-08
1.644999999999999929e+01 1.031943582859703046e-09 1.301578302136860394e-08
1.655000000000000071e+01 1.211787438483627577e-09 1.284532018219677171e-08
1.664999999999999858e+01 1.465758004972022082e-09 1.192532922073910868e-08
1.675000000000000000e+01 1.701602001144008586e-09 1.088507696454419105e-08
1.685000000000000142e+01 1.932036622037522573e-09 1.021895330690440748e-08
1.694999999999999929e+01 2.063053121072945554e-09 9.040646803514408783e-09
1.705000000000000071e+01 2.111896364226141472e-09 7.558501807060026296e-09
1.714999999999999858e+01 2.077986491885762163e-09 5.944291798300381769e-09
1.725000000000000000e+01 1.336639950417590172e-09 4.516717151571557150e-09
1.735000000000000142e+01 7.395394447341741581e-10 3.502645953993149523e-09
1.744999999999999929e+01 3.723381827140680334e-10 2.924851596054707454e-09
