# arXiv:1906.06233 Fig. 9b Sibyll2.3c neutrino range
# All-flavor neutrino flux
# lg(E/eV)  E^2*phi_min [GeV/cm2/s/sr]     E^2*phi_max [GeV/cm2/s/sr]
1.205000000000000071e+01 4.633046521546927336e-14 7.033530276730747727e-14
1.215000000000000036e+01 7.019748681858281580e-14 1.010719132427870091e-13
1.225000000000000000e+01 9.987883223423115005e-14 1.414126669714943847e-13
1.234999999999999964e+01 1.528652914597490744e-13 2.064546458154227322e-13
1.244999999999999929e+01 2.252953172148479594e-13 2.943144975300407686e-13
1.255000000000000071e+01 3.343780307048293198e-13 4.211202625931903243e-13
1.265000000000000036e+01 4.952096400306282821e-13 5.952997635752960849e-13
1.275000000000000000e+01 7.343016443544021035e-13 8.482392920150183766e-13
1.284999999999999964e+01 1.060126348627720451e-12 1.218896676184409834e-12
1.294999999999999929e+01 1.559472850104792684e-12 1.851777697200981454e-12
1.305000000000000071e+01 2.309056575367055641e-12 2.847213954392756174e-12
1.315000000000000036e+01 3.399478602867159838e-12 4.326157808061201174e-12
1.325000000000000000e+01 4.915509641814881558e-12 6.511370668352393640e-12
1.334999999999999964e+01 7.274553292993135818e-12 9.966118629791669842e-12
1.344999999999999929e+01 1.042825879675425591e-11 1.480103572891142618e-11
1.355000000000000071e+01 1.438306021179950730e-11 2.148864400270209603e-11
1.365000000000000036e+01 1.961196411534251078e-11 3.118191088386597511e-11
1.375000000000000000e+01 2.604689657766738531e-11 4.512523098492212285e-11
1.384999999999999964e+01 3.333771771290767739e-11 6.622322436178681997e-11
1.394999999999999929e+01 4.140984009982276730e-11 1.003633724574129629e-10
1.405000000000000071e+01 5.094273211039580981e-11 1.598506139559144026e-10
1.415000000000000036e+01 6.217524824480840187e-11 2.603585541520471689e-10
1.425000000000000000e+01 7.861410936089782928e-11 4.246518459247745096e-10
1.434999999999999964e+01 1.018447946151737520e-10 6.561492779963496137e-10
1.444999999999999929e+01 1.376960051612194540e-10 9.551399858442121657e-10
1.455000000000000071e+01 1.876989675371129676e-10 1.281513570927725071e-09
1.465000000000000036e+01 2.503579616768684611e-10 1.574310901529442263e-09
1.475000000000000000e+01 3.158987786522037064e-10 1.763337191546779693e-09
1.484999999999999964e+01 3.721348346859786305e-10 1.811290787077084370e-09
1.494999999999999929e+01 4.018721008093515371e-10 1.690012752199381108e-09
