# Log(E/GeV)   Total Neut (allFLav) Tau Neut Only  (E^2 F [GeV cm^-2 s^-1 sr^-1])  
   11.000000      8.62182770E-09  2.15902546E-07
   11.100000      8.26336954E-09  9.69621112E-08
   11.200000      8.31953617E-09  4.87794729E-08
   11.300000      8.37037017E-09  2.74912946E-08
   11.400000      8.00959832E-09  1.73521109E-08
   11.500000      7.46813100E-09  1.22679342E-08
   11.600000      7.02697056E-09  9.71655556E-09
   11.700000      6.88744040E-09  8.61951222E-09
   11.800000      7.18816695E-09  8.56474891E-09
   11.900000      7.93827937E-09  9.28849353E-09
   12.000000      9.11081521E-09  1.06569651E-08
   12.100000      1.04566462E-08  1.22272068E-08
   12.200000      1.20013777E-08  1.40289522E-08
   12.300000      1.37744536E-08  1.60964166E-08
   12.400000      1.58096238E-08  1.84687572E-08
   12.500000      1.81456521E-08  2.11909796E-08
   12.600000      2.08270539E-08  2.43147404E-08
   12.700000      2.39048816E-08  2.78992687E-08
   12.800000      2.74377872E-08  3.20125721E-08
   12.900000      3.14931050E-08  3.67327289E-08
   13.000000      3.61481156E-08  4.21492850E-08
   13.100000      4.14915569E-08  4.83651412E-08
   13.200000      4.76252424E-08  5.54981874E-08
   13.300000      5.46661312E-08  6.36838848E-08
   13.400000      6.27484269E-08  7.30776861E-08
   13.500000      7.20263102E-08  8.38579695E-08
   13.600000      8.26767064E-08  9.62296269E-08
   13.700000      9.49026457E-08  1.10427443E-07
   13.800000      1.08937364E-07  1.26721261E-07
   13.900000      1.25048544E-07  1.45420685E-07
   14.000000      1.43543815E-07  1.66881222E-07
   14.100000      1.64775670E-07  1.91510424E-07
   14.200000      1.89149404E-07  2.19776609E-07
   14.300000      2.17130221E-07  2.52217092E-07
   14.400000      2.49251883E-07  2.89448650E-07
   14.500000      2.86128056E-07  3.32179638E-07
   14.600000      3.28462079E-07  3.81221923E-07
   14.700000      3.77062207E-07  4.37508646E-07
   14.800000      4.32856496E-07  5.02110424E-07
   14.900000      4.96910047E-07  5.76256070E-07
   15.000000      5.70446957E-07  6.61357149E-07
   15.100000      6.54870519E-07  7.59031650E-07
   15.200000      7.51792925E-07  8.71138695E-07
   15.300000      8.63067385E-07  9.99813096E-07
   15.400000      9.90816034E-07  1.14750117E-06
   15.500000      1.13748365E-06  1.31701813E-06
   15.600000      1.30586966E-06  1.51158827E-06
   15.700000      1.49919197E-06  1.73491799E-06
   15.800000      1.72114687E-06  1.99126066E-06
   15.900000      1.97597024E-06  2.28549266E-06
   16.000000      2.26854127E-06  2.62322692E-06
